segment_id,text,start,end,confidence
0,Now,0.55,0.89,0.855
0,we,0.89,1.07,0.848
0,have,1.07,1.13,0.81
0,a,1.13,1.21,0.719
0,recording,1.21,1.59,0.701
0,and,1.59,1.99,0.759
0,I'm,1.99,2.17,0.412
0,going,2.17,2.19,0.115
0,to,2.19,2.29,0.875
0,start,2.29,2.51,0.616
0,up,2.51,2.67,0.302
0,a,2.67,2.77,0.584
0,bit,2.77,2.89,0.298
0,of,2.89,2.91,0.714
0,demographic,2.91,3.53,0.286
0,questions,3.53,4.07,0.81
1,What,4.55,4.67,0.917
1,is,4.67,4.77,0.649
1,the,4.77,4.95,0.721
1,crump,4.95,5.21,0.158
1,marital,5.21,5.57,0.415
1,status,5.57,5.97,0.928
1,maried?,5.97,7.51,0.384
1,No,8.07,8.43,0.083
1,you,8.43,8.55,0.118
1,right,8.55,8.77,0.794
1,or,8.77,8.95,0.299
1,left-handed?,8.95,9.49,0.389
