segment_id,text,start,end,confidence
0,Now,0.73,0.95,0.639
0,we,0.95,1.09,0.811
0,are,1.09,1.25,0.688
0,recording,1.25,1.53,0.879
0,and,1.53,2.21,0.198
0,we,2.21,2.33,0.709
0,are,2.33,2.35,0.734
0,going,2.35,2.37,0.884
0,to,2.37,2.39,0.98
0,start,2.39,2.51,0.98
0,off,2.51,2.73,0.536
0,with,2.73,2.87,0.652
0,some,2.87,2.95,0.965
0,basic,2.95,3.21,0.955
0,demographic,3.21,3.65,0.959
0,questions.,3.65,4.25,0.83
1,What,4.61,4.73,0.614
1,is,4.73,4.91,0.787
1,your,4.91,5.05,0.961
1,current,5.05,5.25,0.998
1,marital,5.25,5.65,0.722
1,status?,5.65,6.11,0.918
2,Married.,6.59,7.09,0.189
3,Okay.,7.51,7.79,0.274
4,Now,8.31,8.49,0.621
4,you,8.49,8.63,0.857
4,write,8.63,8.83,0.457
4,or,8.83,9.01,0.923
4,left-handed?,9.01,9.57,0.664
